300 300
0 4 0.4982292757614253
1 48 0.1724141674856801
1 89 0.0882922489864085
1 116 0.2579419894696635
1 134 0.22709622761449522
1 146 0.12609654937755085
1 148 0.32871194069243276
1 214 0.3166017621070007
1 243 0.22029391906812704
1 244 0.3179559969882671
1 286 0.2170860446001285
2 22 0.425444793519718
2 77 0.3735194976645689
2 85 0.3197741151943438
2 107 0.3077693009241537
2 109 0.3252859702152413
2 159 0.21667913475170958
2 164 0.46286864159465935
2 186 0.12019666355322293
2 208 0.4222569020941688
2 268 0.5404213858000538
3 52 0.2335820097234421
3 72 0.24878083038548726
3 79 0.39103770202787186
3 102 0.3638580346898135
3 156 0.2998707802408515
3 175 0.15287876519933183
3 214 0.39669375035305066
3 228 0.11049627593693684
3 259 0.3542963816148958
3 294 0.29907172638189433
4 124 0.3106469351392634
5 242 0.6112414603903477
6 129 0.35774853580502336
7 12 0.21064461535242765
7 16 0.3755304178191965
7 43 0.21486906023326577
7 70 0.22209330053685014
7 77 0.4124465675912562
7 104 0.39670456971210316
7 181 0.32734066696401226
7 185 0.0196634064835308
7 192 0.410946066188443
7 210 0.1705270041730838
8 130 0.2973378718188302
9 8 0.5552886276708502
9 75 0.22023153734803141
9 79 0.5586204785542536
9 84 0.3083973576431293
9 100 0.1313917164567107
9 130 0.6169843082168234
9 156 0.599944792957636
9 207 0.033497058601579754
9 238 0.4278568207758733
9 264 0.5456441119441235
10 23 0.29354917603381525
10 24 0.2687010462709298
10 47 0.16334146245959974
10 73 0.2238952612211768
10 76 0.20187587913108818
10 93 0.2364655253151025
10 183 0.2894894168494483
10 206 0.16667372169219224
10 211 0.12011607691092702
10 299 0.08393989496291443
11 140 0.2882817654408188
12 7 0.21064461535242765
12 16 0.17539257513267653
12 77 0.22981585458475395
12 104 0.19453788566178534
12 151 0.2888655542121953
12 185 0.22890087793624306
12 192 0.22718031854565873
12 208 0.24567070005649636
12 210 0.14403194363661362
12 260 0.3314782178486544
13 88 0.3005635957455083
14 80 0.23300560528925232
14 101 0.45997067854045315
14 112 0.5265443507696167
14 123 0.632974854201038
14 154 0.12156708572373055
14 202 0.42213006369811384
14 224 0.1911235880070143
14 257 0.6192736407424049
14 263 0.6700214177751073
14 275 0.4008974028957446
15 29 0.2761787936271381
15 61 0.38490298364948283
15 81 0.19220926263438787
15 90 0.1666952030924085
15 161 0.232567453728155
15 162 0.3341853268519045
15 178 0.1774097664794397
15 193 0.2783911973859342
15 219 0.37911015413723376
15 232 0.2923666300047333
16 12 0.17539257513267653
16 77 0.23115435584075286
16 104 0.022075584206874867
16 151 0.1139264509475728
16 187 0.3297648271355189
16 192 0.06984002859800092
16 208 0.15428185537096095
16 210 0.3109057992751621
16 235 0.34010231025224574
16 260 0.156117555457498
17 51 0.16153997060515676
17 67 0.4865669438601341
17 78 0.47284902658002664
17 86 0.35045270215202434
17 103 0.2064552214706095
17 180 0.44661474066734547
17 221 0.11856671367880636
17 222 0.5312650589048752
17 283 0.38790576700114887
17 284 0.4794339932224799
18 63 0.18071610208348463
18 94 0.11295525654171061
18 141 0.1680551375411652
18 155 0.21316270223332467
18 179 0.09959411903748742
18 201 0.16710044227739293
18 234 0.21543574037822483
18 237 0.18791744964328688
18 248 0.2700551887986555
18 265 0.07770644836128077
19 45 0.5665328602310549
19 57 0.23733638596108397
19 65 0.5897242299526775
19 74 0.509421922314223
19 110 0.015931247539422575
19 127 0.3036962778874756
19 135 0.21987646737247749
19 195 0.33527096019234626
19 215 0.4764653755090658
19 216 0.48160774197275813
20 67 0.48478325375953907
20 97 0.23251660711107427
20 176 0.459319076022751
20 177 0.40424917114803105
20 180 0.3523533725295811
20 188 0.24601589349287448
20 240 0.20980316865392712
20 280 0.25656675245678723
20 281 0.22865137041160408
20 296 0.2211087111994375
21 26 0.3301756840956029
21 49 0.38644672403367214
21 83 0.061669643334202266
21 91 0.2784434239788545
21 125 0.27488979328638075
21 158 0.24799585578934566
21 168 0.36283041206682065
21 258 0.40100376601180027
21 269 0.3422513859884036
21 291 0.07714257610643756
22 2 0.425444793519718
22 27 0.3561108845634459
22 85 0.3565647029049089
22 87 0.31226154691346314
22 109 0.41938963140532226
22 159 0.39540594666928036
22 164 0.2647233606552685
22 186 0.3565811254269405
22 261 0.4130332384736913
22 268 0.3765802544216521
23 10 0.29354917603381525
23 24 0.25858817237632425
23 64 0.2790635750599121
23 73 0.4102618594452771
23 76 0.26841090641451515
23 93 0.29759572277960994
23 182 0.25539460381712764
23 211 0.3940647250145523
23 239 0.26162163860474413
23 299 0.22898617465371926
24 10 0.2687010462709298
24 23 0.25858817237632425
24 38 0.3112295625708696
24 44 0.2599282702564341
24 131 0.32883722981091185
24 157 0.3582730732285383
24 182 0.327934588377734
24 211 0.2871696357057585
24 272 0.1796798430153613
24 299 0.1922610226604903
25 212 0.565390605964711
26 39 0.20580239322076233
26 53 0.11121428516830519
26 83 0.2829936049711198
26 91 0.09434691691778593
26 114 0.17645276303235177
26 121 0.2577817978779158
26 126 0.20828929339240285
26 158 0.19345632710761695
26 172 0.27848435290958734
26 291 0.27973528117570307
27 22 0.3561108845634459
27 87 0.31224749408506874
27 153 0.3751026798828793
27 164 0.23329901107366482
27 187 0.3566815319795118
27 241 0.34494248782278975
27 253 0.1150909517324686
27 260 0.35716881706346215
27 261 0.3457383244946786
27 297 0.2333304864804961
28 165 0.40987856075821416
29 15 0.2761787936271381
29 61 0.4856208457366511
29 81 0.41322909508718975
29 90 0.40664495822019897
29 147 0.23293743246752652
29 161 0.4839587608189001
29 178 0.39089178468891655
29 184 0.5507287504608889
29 193 0.41715134523932085
29 219 0.3937547321339597
30 3 0.5087692658136744
30 52 0.4596993588746032
30 56 0.4763798850160147
30 72 0.5567797510076326
30 102 0.26172293692116394
30 130 0.34026991394710715
30 139 0.4188695613024074
30 156 0.46651225997435086
30 264 0.265058132268734
30 267 0.19531115377591005
31 35 0.36742768355587385
31 36 0.11333848285759268
31 58 0.4303307584483899
31 60 0.2140868007566351
31 66 0.42265043553417614
31 137 0.1086414294806496
31 149 0.3322314753194087
31 189 0.3894690985324702
31 220 0.31209056671446067
31 245 0.2332218487170687
32 7 0.5008680352344034
