,BAC
arrhythmia.arff,0.1553201315016309
balance-scale.arff,0.0
cpu.arff,0.019400691217215542
dermatology.arff,0.21175948764285868
ecoli.arff,0.011617203903209508
german.arff,0.006999970451097646
glass.arff,0.23308069415908803
haberman.arff,0.014390883760498862
heart-statlog.arff,-0.0029071370006894127
iono.arff,0.23578594104747005
iris.arff,0.556512689785874
letter.arff,0.018765459750204095
segment.arff,0.4612578214817372
sonar.arff,0.016316159039051453
tae.arff,0.010439918338955686
thy.arff,0.22093062624804544
vehicle.arff,0.0014410514637425683
vowel.arff,0.018704279167691202
wdbc.arff,0.01641294553667891
wine.arff,0.3070813442209845
wisc.arff,-0.06340862650075342
yeast.arff,0.0073194668645579644
zoo.arff,0.43508471436980906
