,BAC
arrhythmia.arff,0.0
balance-scale.arff,0.0
cpu.arff,0.015271272241055676
dermatology.arff,0.20040565576914426
ecoli.arff,0.0
german.arff,0.007213980937277045
glass.arff,0.21073537818137916
haberman.arff,0.0
heart-statlog.arff,0.0
iono.arff,0.0
iris.arff,0.5681159420289855
letter.arff,0.014394128234335862
segment.arff,0.4340482979083022
sonar.arff,0.0
tae.arff,0.005417547218242897
thy.arff,0.24885423221685288
vehicle.arff,0.002049668206919655
vowel.arff,0.0013925934307793958
wdbc.arff,0.014195868932101561
wine.arff,0.29999794479301223
wisc.arff,-0.08034999026085363
yeast.arff,0.00859501210223935
zoo.arff,0.7635219437933664
