,BAC,DBSCAN,OPTICS,HDBSCAN,BorderPeeling,AUTOCLUST
2d-20c-no0.arff,0.996044825313118,0.8727752142386289,0.3019116677653263,0.978905735003296,0.9235332893869479,0.8378378378378378
2d-3c-no123.arff,0.9944055944055944,0.5174825174825175,0.8811188811188811,0.8951048951048951,0.4097902097902098,0.8517482517482518
2d-4c-no4.arff,0.9988412514484357,0.7694090382387022,0.9212050984936269,0.8424101969872537,0.6732329084588644,0.8447276940903824
2d-4c-no9.arff,0.9840182648401826,0.6678082191780822,0.9748858447488584,0.9223744292237442,0.5821917808219178,0.8538812785388128
aggregation.arff,0.9949238578680203,0.3464467005076142,0.8477157360406091,0.8274111675126904,0.7944162436548223,0.7309644670050761
banana.arff,0.8305965495738932,0.5237996258574101,0.8863022240698399,1.0,0.11411348991893577,0.8328829765121596
cluto-t8-8k.arff,0.845,0.194625,0.194625,0.667625,0.14925,0.862
complex8.arff,0.8831830654645237,0.2034496275970208,0.3786750294002352,0.5597804782438259,0.195609564876519,0.8294786358290867
complex9.arff,0.8455955130320026,0.2989112504124051,0.49191685912240185,0.7641042560211151,0.2764764104256021,0.8531837677334213
cure-t0-2000n-2D.arff,1.0,0.8,1.0,1.0,0.209,0.928
cure-t1-2000n-2D.arff,0.914,0.49,0.986,0.84,0.415,0.9205
cure-t2-4k.arff,0.8788095238095238,0.41904761904761906,0.6095238095238096,0.7466666666666667,0.21261904761904762,0.8428571428571429
dense-disk-3000.arff,0.861,0.8086666666666666,0.7203333333333334,0.8636666666666667,0.10566666666666667,0.7086666666666667
diamond9.arff,1.0,0.11133333333333334,0.20333333333333334,0.822,0.5333333333333333,0.519
disk-1000n.arff,0.7,0.487,0.7,0.369,0.19,0.488
disk-4000n.arff,1.0,0.99725,0.8,0.977,0.127,0.69925
disk-5000n.arff,0.8058,0.8,0.8,0.3446,0.1086,0.6892
elliptical_10_2.arff,0.766,0.238,0.908,0.708,0.918,0.526
fourty.arff,1.0,0.816,0.025,0.999,0.932,0.763
golfball.arff,1.0,1.0,1.0,0.41504247876061967,0.20339830084957522,0.8238380809595203
long1.arff,1.0,0.5,0.95,0.992,0.263,0.811
long2.arff,0.981,0.6,0.95,0.993,0.219,0.842
longsquare.arff,0.9944444444444445,0.39,0.4811111111111111,0.9566666666666667,0.6488888888888888,0.86
pmf.arff,0.975346687211094,0.6070878274268104,0.975346687211094,0.9738058551617874,0.7611710323574731,0.8597842835130971
smile2.arff,1.0,0.4,0.936,1.0,0.456,0.66
smile3.arff,1.0,0.5,0.948,1.0,0.423,0.484
spiralsquare.arff,0.998,0.7986666666666666,0.572,0.97,0.5986666666666667,0.31
triangle1.arff,1.0,0.804,0.995,1.0,0.804,0.919
triangle2.arff,0.994,0.404,0.988,0.958,0.584,0.861
twodiamonds.arff,1.0,0.5,0.97,0.98375,0.3525,0.48125
wingnut.arff,1.0,0.5,0.5,0.7874015748031497,0.3375984251968504,0.7667322834645669
xclara.arff,0.9943333333333333,0.378,0.9903333333333333,0.9846666666666667,0.2926666666666667,0.8553333333333333
zelnik1.arff,0.7190635451505016,0.46488294314381273,0.6254180602006689,1.0,0.4080267558528428,0.5886287625418061
zelnik5.arff,1.0,0.29296875,0.978515625,1.0,0.748046875,0.787109375
zelnik6.arff,0.8697478991596639,0.42016806722689076,0.7310924369747899,0.8781512605042017,0.6680672268907563,0.7352941176470589
