,BAC,DBSCAN,OPTICS,HDBSCAN,BorderPeeling,AUTOCLUST,
2d-20c-no0.arff,0.99 ,0.83 ,0.16 ,0.97 ,0.94 ,0.83 ,
2d-3c-no123.arff,0.98 ,0.00 ,0.79 ,0.78 ,0.31 ,0.79 ,
2d-4c-no4.arff,1.00 ,0.61 ,0.84 ,0.74 ,0.56 ,0.85 ,
2d-4c-no9.arff,0.97 ,0.52 ,0.95 ,0.91 ,0.53 ,0.79 ,
aggregation.arff,0.99 ,0.00 ,0.83 ,0.81 ,0.77 ,0.73 ,
banana.arff,0.76 ,0.00 ,0.60 ,1.00 ,0.06 ,0.71 ,
cluto-t8-8k.arff,0.85 ,0.00 ,0.00 ,0.64 ,-0.02 ,0.88 ,
complex8.arff,0.88 ,0.00 ,0.22 ,0.37 ,0.00 ,0.82 ,
complex9.arff,0.81 ,0.00 ,0.25 ,0.68 ,-0.01 ,0.82 ,
cure-t0-2000n-2D.arff,1.00 ,0.00 ,1.00 ,1.00 ,0.06 ,0.81 ,
cure-t1-2000n-2D.arff,0.94 ,0.00 ,0.99 ,0.89 ,0.26 ,0.91 ,
cure-t2-4k.arff,0.92 ,0.00 ,0.28 ,0.85 ,0.15 ,0.89 ,
dense-disk-3000.arff,0.83 ,0.76 ,0.00 ,0.82 ,0.04 ,0.68 ,
diamond9.arff,1.00 ,0.00 ,0.04 ,0.84 ,0.54 ,0.49 ,
disk-1000n.arff,0.00 ,0.17 ,0.00 ,0.03 ,0.07 ,-0.09 ,
disk-4000n.arff,1.00 ,0.99 ,0.00 ,0.93 ,0.03 ,0.41 ,
disk-5000n.arff,0.06 ,0.00 ,0.00 ,0.00 ,0.02 ,0.05 ,
elliptical_10_2.arff,0.79 ,0.02 ,0.80 ,0.67 ,0.90 ,0.53 ,
fourty.arff,1.00 ,0.48 ,0.00 ,1.00 ,0.95 ,0.73 ,
golfball.arff,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,
long1.arff,1.00 ,0.00 ,0.81 ,0.98 ,0.18 ,0.66 ,
long2.arff,0.96 ,0.00 ,0.81 ,0.99 ,0.14 ,0.72 ,
longsquare.arff,0.99 ,0.21 ,0.29 ,0.94 ,0.69 ,0.83 ,
pmf.arff,0.96 ,0.24 ,0.96 ,0.96 ,0.61 ,0.86 ,
smile2.arff,1.00 ,0.00 ,0.87 ,1.00 ,0.39 ,0.70 ,
smile3.arff,1.00 ,0.00 ,0.89 ,1.00 ,0.28 ,0.31 ,
spiralsquare.arff,1.00 ,0.91 ,0.51 ,0.99 ,0.38 ,-0.02 ,
triangle1.arff,1.00 ,0.75 ,0.99 ,1.00 ,0.82 ,0.89 ,
triangle2.arff,0.98 ,0.07 ,0.97 ,0.93 ,0.55 ,0.79 ,
twodiamonds.arff,1.00 ,0.00 ,0.94 ,0.97 ,0.25 ,0.00 ,
wingnut.arff,1.00 ,0.00 ,0.00 ,0.62 ,0.27 ,0.59 ,
xclara.arff,0.99 ,0.00 ,0.97 ,0.98 ,0.21 ,0.78 ,
zelnik1.arff,0.66 ,0.00 ,0.38 ,1.00 ,0.25 ,0.53 ,
zelnik5.arff,1.00 ,0.00 ,0.98 ,1.00 ,0.81 ,0.73 ,
zelnik6.arff,0.85 ,0.00 ,0.52 ,0.72 ,0.65 ,0.78 ,
