,BAC,DBSCAN,OPTICS,HDBSCAN,BorderPeeling,AUTOCLUST
2d-20c-no0.arff,0.9940779050064292,0.8300507948563867,0.1624087420509422,0.9745773241854497,0.9376625764130563,0.8336495900291752
2d-3c-no123.arff,0.9840582846154204,0.0,0.7869570599097024,0.7772548942646336,0.3122428833436013,0.7945690795027954
2d-4c-no4.arff,0.9958742561180184,0.6102174925017002,0.8361294586442526,0.7436039857863799,0.5641402616744537,0.8516157947563301
2d-4c-no9.arff,0.9698168936113916,0.5157443464598983,0.9473005365461077,0.9093446611967914,0.5303161715759759,0.7868135004835961
aggregation.arff,0.991326806021418,0.0,0.831814777888484,0.8089434170360936,0.7713884088838187,0.7332895454240135
banana.arff,0.7609191861521157,0.0,0.5968071721868674,1.0,0.05632343671527399,0.7137093608033848
cluto-t8-8k.arff,0.8517774980998752,0.0,0.0,0.6356192317798187,-0.015831102859270883,0.8832675810098872
complex8.arff,0.8831023878502624,0.0,0.2158898720313457,0.37222277330093806,-0.003500912467484378,0.8160798114962169
complex9.arff,0.8095852302327089,0.0,0.2505447417612092,0.6812671306663238,-0.012767367207368286,0.820261433631953
cure-t0-2000n-2D.arff,1.0,0.0,1.0,1.0,0.05581159623565338,0.8140383262019592
cure-t1-2000n-2D.arff,0.9351582701763028,0.0,0.990089834965198,0.8850128924426099,0.263829289769487,0.9091314300597871
cure-t2-4k.arff,0.917986841652028,0.0,0.28022016819180157,0.8536485628218254,0.14522080509382154,0.8861251692242907
dense-disk-3000.arff,0.8293070609239158,0.7598706797665383,0.0,0.820889210126212,0.03523131122073725,0.6820846293968353
diamond9.arff,1.0,0.0,0.039581408763198545,0.8362877351332141,0.5371310035687619,0.4948134718914641
disk-1000n.arff,0.0,0.17092540828405425,0.0,0.03204569683309014,0.06638058082920446,-0.09349257548057362
disk-4000n.arff,1.0,0.9913121123360823,0.0,0.9333201725217185,0.028368113135814034,0.4145689716677856
disk-5000n.arff,0.0550296233956484,0.0,0.0,-0.0010742012336459076,0.02303880501802635,0.050667157481517656
elliptical_10_2.arff,0.7877720151373376,0.017289137145725456,0.8008079327274886,0.6687519314984918,0.8954332768268433,0.5255103607831745
fourty.arff,1.0,0.48106767655859045,0.0,0.9979081619375213,0.9499043648320474,0.7284683464839109
golfball.arff,1.0,1.0,1.0,0.0,0.0,0.0
long1.arff,1.0,0.0,0.8098115249346199,0.984059791664276,0.17695929773693667,0.6593229607792749
long2.arff,0.955808703761432,0.0,0.8091460287774125,0.9856237342756754,0.13786120078093636,0.7176546741353048
longsquare.arff,0.9866071957564704,0.205493909644796,0.2861229560081447,0.9442721078624502,0.6921648222800779,0.8289609031112026
pmf.arff,0.964300161571692,0.24390954414710264,0.9643001615716921,0.9635227628008713,0.6113186296823123,0.8601237769001828
smile2.arff,1.0,0.0,0.8662221985385502,1.0,0.389195144355803,0.6999554260410474
smile3.arff,1.0,0.0,0.8879946106121948,1.0,0.2770600708858527,0.3111149981713149
spiralsquare.arff,0.9982234412310484,0.9099960510477753,0.5101747816563332,0.986073196836371,0.3831311782671552,-0.016660718207387067
triangle1.arff,1.0,0.7459254024479297,0.9920674068521845,1.0,0.8195654012909944,0.8920111867601324
triangle2.arff,0.9801491957463624,0.06697174326798724,0.9664485707460349,0.9343313363653026,0.5503539567172642,0.7941147604379715
twodiamonds.arff,1.0,0.0,0.9408404658877725,0.9652802717342965,0.24728477376181857,-5.7006341474307295e-05
wingnut.arff,1.0,0.0,0.0,0.6212176528496245,0.2713822972396266,0.589632445004197
xclara.arff,0.9885436351325568,-0.0008235193995371197,0.9713434166388737,0.9763761395952743,0.20509058096995147,0.7834212098317918
zelnik1.arff,0.6643205170911194,0.0,0.38188838705640277,1.0,0.25420569800121173,0.5261525094401971
zelnik5.arff,1.0,0.0,0.9760162297763851,1.0,0.8071373137326041,0.7286961339664623
zelnik6.arff,0.8514229163469953,0.0,0.5246130414294043,0.7224833748737657,0.6464059277314325,0.7788006620345134
