,BAC,DBSCAN,OPTICS,HDBSCAN,BorderPeeling,AUTOCLUST
2d-20c-no0.arff,0.9943299571182683,0.911120762270311,0.5623751862828041,0.9794162719938468,0.9660538463011626,0.8767554095074324
2d-3c-no123.arff,0.9678381279778526,0.0,0.7227791695718112,0.7464861854294391,0.5929266725163058,0.67321002609454
2d-4c-no4.arff,0.9930004189819934,0.6627703901067019,0.8610024778925244,0.8479030842934939,0.7634720440335194,0.7356344584270549
2d-4c-no9.arff,0.9585808894758102,0.6445278669939964,0.9285578950495192,0.9127728606956442,0.732034232890227,0.7350787686019145
aggregation.arff,0.9869394410981247,0.0,0.8084382366163393,0.8894055132776748,0.8994852213694559,0.7424543524519216
banana.arff,0.7578007570420957,0.0,0.5885873077044962,1.0,0.31188061421468793,0.5596717182204035
cluto-t8-8k.arff,0.8789368557499126,0.0,0.0,0.8275966578832288,0.2669619717319971,0.8029493060837
complex8.arff,0.9249640267897857,0.0,0.4509201888110688,0.6821127231659847,0.09029524335801198,0.7898189599920703
complex9.arff,0.9130853356727656,0.0,0.5154582289903108,0.8348968418017056,0.11479505273242442,0.812379895688573
cure-t0-2000n-2D.arff,1.0,0.0,1.0,1.0,0.3419273637733122,0.7119365880653148
cure-t1-2000n-2D.arff,0.9295504822554442,0.0,0.9744860395421404,0.9029696147297869,0.6372604055798342,0.8400930141439662
cure-t2-4k.arff,0.8641459035530491,0.0,0.5250428816575493,0.7782119036572079,0.5620941734229472,0.7698087945677606
dense-disk-3000.arff,0.7141469144558107,0.4806984499615274,0.0,0.6137402675796569,0.22454010001932084,0.34840911802201524
diamond9.arff,1.0,0.0,0.2047081249546781,0.865730961908121,0.7875881646182135,0.7158330333497931
disk-1000n.arff,0.0,0.24146214160863108,0.0,0.22030761637880766,0.22480982559596832,0.10758858523742255
disk-4000n.arff,1.0,0.9791923628793903,0.0,0.8888064897761903,0.2364586492835306,0.3702614863311437
disk-5000n.arff,0.05817135701529894,0.0,0.0,0.16093361917967558,0.21166194078945513,0.1020174693791957
elliptical_10_2.arff,0.9228301029631814,0.35823538301799457,0.8682696864678716,0.8869592179451458,0.9508468832442276,0.7413083094255685
fourty.arff,1.0,0.855039543811661,0.0,0.9988563920396852,0.9822730397157421,0.8861863636790085
golfball.arff,1.0,1.0,1.0,0.0,0.0,0.0
long1.arff,1.0,0.0,0.7610260716417289,0.963826288846644,0.4271496554493475,0.5397793812825453
long2.arff,0.9410667099980647,0.0,0.7523729787732459,0.9663927340194649,0.3946613445174304,0.5729657799175392
longsquare.arff,0.9833856616288649,0.5540491363599568,0.5738479189023179,0.9368459849178227,0.8329289775273439,0.8154768063899465
pmf.arff,0.9406772871085279,0.32967369219930653,0.9406772871085279,0.9375057879080784,0.7649876379011504,0.7644364705662737
smile2.arff,1.0,0.0,0.8825529564250698,1.0,0.6607630188249833,0.564206677433418
smile3.arff,1.0,0.0,0.91123256354863,1.0,0.5845445833764955,0.4216735399694424
spiralsquare.arff,0.9925294277332772,0.8162163550737361,0.7328571989169168,0.9552354698584516,0.6816357443529426,0.09011626846421655
triangle1.arff,1.0,0.7473464094087933,0.9879934394788499,1.0,0.8588356545506386,0.842864537377252
triangle2.arff,0.9762870783502755,0.35466002621696796,0.9502772240680577,0.9095942210679743,0.7131337828560168,0.7455348201050723
twodiamonds.arff,1.0,0.0,0.8964666310040263,0.9275689402100209,0.4688115140012371,0.06242399685083958
wingnut.arff,1.0,0.0,0.0,0.6079709490024443,0.5047103103565862,0.5024046410421508
xclara.arff,0.9813593341318425,0.027708788231559187,0.95500255232564,0.9610728985425638,0.4767678344446395,0.6777820475415905
zelnik1.arff,0.8056680845888106,0.0,0.6091817607920914,1.0,0.5143685889918193,0.5497967406039121
zelnik5.arff,1.0000000000000002,0.0,0.9748635641135812,1.0,0.8666902326585249,0.7245403002117895
zelnik6.arff,0.8272022762719468,0.0,0.5831960458481525,0.7101119295727376,0.6562291902553252,0.666595713601098
