,BAC
2d-20c-no0.arff,0.9940779050064293
2d-3c-no123.arff,0.9840582846154203
2d-4c-no4.arff,0.9958742561180184
2d-4c-no9.arff,0.9698168936113915
aggregation.arff,0.991326806021418
banana.arff,0.7560593691864913
cluto-t8-8k.arff,0.8519195289898482
complex8.arff,0.8828434779961688
complex9.arff,0.8100073117030591
cure-t0-2000n-2D.arff,1.0
cure-t1-2000n-2D.arff,0.9348818903595533
cure-t2-4k.arff,0.9115058317690162
dense-disk-3000.arff,0.8366564244068597
diamond9.arff,0.9932750109368679
disk-1000n.arff,0.0
disk-4000n.arff,1.0
disk-5000n.arff,0.05502464645910583
elliptical_10_2.arff,0.7877720151373376
fourty.arff,1.0
golfball.arff,1.0
long1.arff,1.0
long2.arff,0.9558087037614319
longsquare.arff,0.9866071957564703
pmf.arff,0.9643001615716921
smile2.arff,1.0
smile3.arff,1.0
spiralsquare.arff,0.9982234327752758
triangle1.arff,1.0
triangle2.arff,0.9744107352246727
twodiamonds.arff,1.0
wingnut.arff,1.0
xclara.arff,0.9851777588333187
zelnik1.arff,0.6643205170911194
zelnik5.arff,1.0
zelnik6.arff,0.8514229163469953
